Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
0.0,0.95331275,0.36234385,0.0,0,11.076097,0.00064125459,0.02445866,11.864185,11.076462,22.893122,-9.1246071
0.1,0.93943691,0.018359242,0.0,0,11.076097,0.219551,0.0012393867,11.934798,11.076232,22.894817,-9.4719353
0.2,0.92893064,0.0025348745,0.0,0,11.076097,0.51604193,0.00018716976,11.820281,11.076028,23.001587,-9.493104
0.3,0.92244965,0.0019497216,0.0,0,11.076097,0.81588894,0.00011450716,11.743515,11.077271,22.932087,-9.4949131
0.4,0.91603571,0.0019535259,0.0,0,11.076097,1.1158824,0.00011606727,11.657826,11.077793,22.924389,-9.4952698
0.5,0.9112497,0.0016983969,0.0,0,11.076097,1.4158831,0.00011935557,11.60524,11.075556,22.971001,-9.4956846
0.6,0.90301859,0.0017672371,0.0,0,11.076097,1.7158816,0.00013594868,11.505083,11.076329,22.946674,-9.4949837
0.7,0.89939463,0.0016197875,0.0,0,11.076097,2.0158832,0.00010293425,11.45449,11.075151,22.942583,-9.4953222
0.8,0.89593017,0.0018778573,0.0,0,11.076097,2.315882,0.00011165491,11.402352,11.076321,22.936623,-9.495204
0.9,0.89068276,0.0016709153,0.0,0,11.076097,2.6158822,0.00011822177,11.341582,11.076382,22.918669,-9.4950943
1.0,0.88550794,0.0018232317,0.0,0,11.076097,2.9158828,0.00012715376,11.267345,11.076002,22.908884,-9.494894
1.1,0.88084716,0.0016399443,0.0,0,11.076097,3.2158816,0.0001223539,11.20831,11.075981,22.850109,-9.4947243
1.2,0.8723169,0.0018740956,0.0,0,11.076097,3.5158832,0.00010700725,11.11174,11.076811,22.928225,-9.4941959
1.3,0.86810595,0.001855111,0.0,0,11.076097,3.8158815,0.00013467621,11.060501,11.076677,22.868345,-9.4939871
1.4,0.8631959,0.001652341,0.0,0,11.076097,4.1158824,0.00011561899,10.981782,11.076336,22.985727,-9.4934931
1.5,0.86051857,0.0017324885,0.0,0,11.076097,4.4158835,0.00013222716,10.95869,11.07535,22.908115,-9.4933004
1.6,0.85427648,0.0019525782,0.0,0,11.076097,4.7158818,0.00011265229,10.884182,11.077349,22.96862,-9.4928675
1.7,0.85279232,0.0020159527,0.0,0,11.076097,5.0158825,0.00013345384,10.864783,11.07691,22.894142,-9.4930391
1.8,0.85119385,0.0018808973,0.0,0,11.076097,5.3158827,0.0001308636,10.844568,11.07633,22.965204,-9.4927855
1.9,0.84858465,0.0016343916,0.0,0,11.076097,5.6158819,0.00012914966,10.806053,11.077426,22.876318,-9.4924917
2.0,0.84459817,0.0015681164,0.0,0,11.076097,5.915884,9.5366398e-05,10.748582,11.076614,22.923176,-9.4927015
2.1,0.83879876,0.0018473035,0.0,0,11.076097,6.2158818,0.00010825195,10.67641,11.077476,22.882456,-9.4923382
2.2,0.83268327,0.0015127588,0.0,0,11.076097,6.515883,0.00011270835,10.599185,11.076242,22.84667,-9.4920473
2.3,0.83036625,0.0017446125,0.0,0,11.076097,6.8158817,0.00013226438,10.565228,11.076673,22.887289,-9.4921217
2.4,0.82936019,0.0015574184,0.0,0,11.076097,7.1158819,0.00010317814,10.544538,11.076286,22.822567,-9.4922075
2.5,0.81911147,0.0016765458,0.0,0,11.076097,7.4158831,9.5477109e-05,10.439988,11.076169,22.859921,-9.4916
2.6,0.82210481,0.0014858118,0.0,0,11.076097,7.7158828,0.00010747228,10.456035,11.07649,22.942087,-9.4919405
2.7,0.81498694,0.0012091488,0.0,0,11.076097,8.0158844,8.7895365e-05,10.388282,11.076175,22.883545,-9.4917278
2.8,0.82043457,0.0012987503,0.0,0,11.076097,8.3158855,9.8865596e-05,10.447105,11.076628,22.899002,-9.491704
2.9,0.81440574,0.0015885598,0.0,0,11.076097,8.615881,8.2708684e-05,10.368664,11.076626,22.829313,-9.4917469
3.0,0.80811542,0.0013401189,0.0,0,11.076097,8.9158812,9.4169875e-05,10.284183,11.075518,22.87561,-9.4913654
3.1,0.80617529,0.0013560663,0.0,0,11.076097,9.2158823,8.5154243e-05,10.261541,11.075799,22.83646,-9.491312
