level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm)
2104,2104,178.7032,0.13591053,0.026852572,0.0,0,9.0922346,0.0,0.0015671256,1.6581799,10.11375,395.25552,-9.2656384
2105,2105,178.7034,0.66400361,0.028918283,0.0,0,9.0629702,0.0,0.0016973482,6.2701511,10.07136,395.25491,-9.2649145
2106,2106,178.7036,2.2440124,0.051866949,0.0,0,9.0337067,0.0,0.0033286866,23.837675,10.033341,395.2543,-9.2641487
2107,2107,178.7038,3.9682548,0.093258023,0.0,0,9.0044422,0.0,0.0056658657,46.146805,10.005583,395.25372,-9.2640657
2108,2108,178.704,4.9732537,0.11809945,0.0,0,8.9751787,0.0,0.0074258014,60.74585,9.9830065,395.25311,-9.263319
2109,2109,178.7042,5.3963366,0.1350387,0.0,0,8.9459143,0.0,0.0090269502,67.293678,9.952343,395.2525,-9.2615023
2110,2110,178.7044,5.604177,0.17081104,0.0,0,8.9166508,0.0,0.010920446,70.053673,9.9122725,395.25189,-9.2599459
2111,2111,178.7046,5.8345609,0.2331956,0.0,0,8.8873863,0.0,0.014502327,72.736229,9.8656864,395.25128,-9.2589607
2112,2112,178.7048,5.8561554,0.31763175,0.0,0,8.8581219,0.0,0.020450082,73.249069,9.8205853,395.2507,-9.2590733
2113,2113,178.705,5.7131968,0.38878119,0.0,0,8.8288584,0.0,0.025573818,71.259918,9.7759027,395.25009,-9.2601814
2114,2114,178.7052,5.8871808,0.41789082,0.0,0,8.7995939,0.0,0.027756009,72.167801,9.7238588,395.24948,-9.2605333
2115,2115,178.7054,6.3003182,0.44033715,0.0,0,8.7703304,0.0,0.029525587,76.881905,9.6714458,395.24887,-9.260438
2116,2116,178.7056,6.4134865,0.49276227,0.0,0,8.7416534,0.0,0.032731459,78.942337,9.6203413,395.24826,-9.2606897
2117,2117,178.7058,6.3923235,0.55652064,0.0,0,8.7136879,0.0,0.036708802,78.314598,9.5745192,395.24768,-9.2603407
2118,2118,178.706,6.7114391,0.59732461,0.0,0,8.6858492,0.0,0.040242348,81.068802,9.5340824,395.24707,-9.2595167
2119,2119,178.7062,7.0386653,0.60317492,0.0,0,8.6580172,0.0,0.041280493,85.463104,9.490634,395.24646,-9.2586136
