level_0,index,Time(sec),Force(kN),Jaw(mm),PowAngle(deg),Power(W),Pram,PTemp,Strain,Stress(MPa),Stroke(mm),TC1(C),wedge(mm),uncorrected stress
1973,1973,165.3448,1.1929153,0.0049397689,0.0,0,9.0337067,0.0,0.0004131037,14.53724822282658,10.069327,366.05283,-9.2889547,14.53724822282658
1974,1974,165.345,2.4937165,0.022107366,0.0,0,9.0044422,0.0,0.001397299,30.35221417966301,10.032173,366.23657,-9.2893105,30.35221417966301
1975,1975,165.3452,4.1833806,0.046077829,0.0,0,8.9751787,0.0,0.0025571147,50.83122020481503,9.9994001,366.42032,-9.2891808,50.83122020481503
1976,1976,165.3454,5.2671432,0.070490837,0.0,0,8.9459143,0.0,0.0044881892,63.88856739562141,9.9701748,366.6041,-9.2890606,63.88856739562141
1977,1977,165.3456,5.7447758,0.093895137,0.0,0,8.9166508,0.0,0.0062234914,69.56582105025068,9.9401598,366.78784,-9.2880239,69.56582105025068
1978,1978,165.3458,6.0678258,0.11943451,0.0,0,8.8873863,0.0,0.0074070911,73.3437603623293,9.9079008,366.97159,-9.2863226,73.3437603623293
1979,1979,165.346,6.5363612,0.16673504,0.0,0,8.8581219,0.0,0.010415925,78.73973543668463,9.871666,367.15536,-9.2848864,78.73973543668463
1980,1980,165.3462,6.8444228,0.23548347,0.0,0,8.8288584,0.0,0.015098809,82.04382784987861,9.8318949,367.33911,-9.2847662,82.04382784987861
1981,1981,165.3464,6.8610334,0.30044442,0.0,0,8.7995939,0.0,0.019280119,81.85743896263713,9.7890549,367.52286,-9.2844124,81.85743896263713
1982,1982,165.3466,6.9278712,0.34626314,0.0,0,8.7703304,0.0,0.022762045,82.38029011684932,9.7407522,367.70663,-9.2838631,82.38029011684932
1983,1983,165.3468,7.2679081,0.38466361,0.0,0,8.7416534,0.0,0.025764674,86.1822854411473,9.688344,367.88754,-9.2838135,86.1822854411473
1984,1984,165.347,7.5122271,0.4346652,0.0,0,8.7136879,0.0,0.02857035,88.75444092538113,9.6367092,368.04282,-9.2843189,88.75444092538113
1985,1985,165.3472,7.5888481,0.48586982,0.0,0,8.6858492,0.0,0.032036178,89.32349280690593,9.5906782,368.19809,-9.2844925,89.32349280690593
1986,1986,165.3474,7.8069501,0.519117,0.0,0,8.6580172,0.0,0.035095908,91.66604919351498,9.5431404,368.35336,-9.2834091,91.66604919351498
1987,1987,165.3476,8.0880413,0.54053092,0.0,0,8.6301851,0.0,0.03646569,94.81664359340917,9.4997864,368.50867,-9.2828865,94.81664359340917
1988,1988,165.3478,8.0602484,0.55884331,0.0,0,8.6023531,0.0,0.037473291,94.36310317562385,9.465167,368.66394,-9.2828569,94.36310317562385
1989,1989,165.348,7.7894135,0.5831117,0.0,0,8.574522,0.0,0.039452024,91.02879786850879,9.43081,368.81921,-9.2831297,91.02879786850879
1990,1990,165.3482,7.7531323,0.62586904,0.0,0,8.546689,0.0,0.042100511,90.31792821856126,9.4000378,368.97449,-9.2835379,90.31792821856126
1991,1991,165.3484,7.9901423,0.66412133,0.0,0,8.518857,0.0,0.044558004,92.81439332230148,9.3708715,369.12979,-9.2835369,92.81439332230148
1992,1992,165.3486,8.1856813,0.68216717,0.0,0,8.4910259,0.0,0.046483763,94.95794901724786,9.3386583,369.28506,-9.2835903,94.95794901724786
1993,1993,165.3488,8.2674894,0.70693135,0.0,0,8.4631929,0.0,0.04803383,95.7297598205596,9.3061762,369.44034,-9.2834911,95.7297598205596
1994,1994,165.349,8.4077396,0.745215,0.0,0,8.4353609,0.0,0.049980901,97.07511979745719,9.2685337,369.59561,-9.2822123,97.07511979745719
1995,1995,165.3492,8.5689278,0.78766358,0.0,0,8.4075298,0.0,0.053222623,98.62132788126237,9.2289286,369.75089,-9.2816095,98.62132788126237
1996,1996,165.3494,8.5249729,0.84611911,0.0,0,8.3796968,0.0,0.05739215,97.684042674333,9.1901979,369.90619,-9.2821751,97.684042674333
1997,1997,165.3496,8.2878599,0.90385705,0.0,0,8.3518648,0.0,0.061094727,94.5527727598712,9.1481209,370.06146,-9.2821465,94.5527727598712
1998,1998,165.3498,8.22085,0.93749541,0.0,0,8.3240337,0.0,0.063998349,93.54884911315484,9.1053038,370.21674,-9.282115,93.54884911315484
1999,1999,165.35,8.417222,0.97596925,0.0,0,8.2962017,0.0,0.066942707,95.50304434911665,9.0616188,370.37201,-9.2827816,95.50304434911665
2000,2000,165.3502,8.5536432,1.0232646,0.0,0,8.2683697,0.0,0.069765888,96.70058026329117,9.0183201,370.52731,-9.2829313,96.70058026329117
2001,2001,165.3504,8.4959488,1.0539738,0.0,0,8.2405376,0.0,0.072335072,95.82238864442292,8.9810848,370.68259,-9.2823067,95.82238864442292
2002,2002,165.3506,8.465003,1.0794882,0.0,0,8.2127056,0.0,0.074687734,95.28631405745686,8.9443293,370.83786,-9.2827578,95.28631405745686
2003,2003,165.3508,8.6119232,1.1013557,0.0,0,8.1848736,0.0,0.075799398,96.7770189407666,8.9102192,370.99313,-9.2827272,96.7770189407666
2004,2004,165.351,8.7424917,1.112813,0.0,0,8.1570415,0.0,0.076655589,98.1575361925216,8.880434,371.14844,-9.2819166,98.1575361925216
2005,2005,165.3512,8.6542311,1.1410048,0.0,0,8.1292095,0.0,0.078972541,96.95525851855272,8.8527775,371.30371,-9.2821417,96.95525851855272
2006,2006,165.3514,8.5065012,1.1815549,0.0,0,8.1013775,0.0,0.081420243,95.00142413177437,8.8250608,371.45898,-9.2822285,95.00142413177437
2007,2007,165.3516,8.5800495,1.2044305,0.0,0,8.0735455,0.0,0.083155915,95.65279857157935,8.7955008,371.61426,-9.2822351,95.65279857157935
2008,2008,165.3518,8.8099499,1.2259824,0.0,0,8.0462685,0.0,0.085212104,98.05131253700341,8.7648582,371.76956,-9.2823305,98.05131253700341
2009,2009,165.352,8.9477091,1.2601793,0.0,0,8.0196619,0.0,0.087237664,99.3194404780566,8.734458,371.92484,-9.2821941,99.3194404780566
2010,2010,165.3522,8.9447012,1.2946748,0.0,0,7.993176,0.0,0.089397177,99.01873376821418,8.705452,372.08011,-9.2821846,99.01873376821418
2011,2011,165.3524,8.9296608,1.3366531,0.0,0,7.9666953,0.0,0.092888452,98.5274540719332,8.6719694,372.23538,-9.2823687,98.5274540719332
