Time,Strain,Stress,Displacement,Force
0.0,0.0,0.0,0.0,0.0
0.1,0.0005,103.2,0.0075,3096.0
0.2,0.0010,206.4,0.0150,6192.0
0.3,0.0015,309.6,0.0225,9288.0
0.4,0.0020,412.8,0.0300,12384.0
0.5,0.0025,516.0,0.0375,15480.0
0.6,0.0030,550.5,0.0450,16515.0
0.7,0.0035,551.6,0.0525,16548.0
0.8,0.0040,552.0,0.0600,16560.0
0.9,0.0045,552.3,0.0675,16569.0
1.0,0.0050,552.5,0.0750,16575.0
1.1,0.0055,552.0,0.0825,16560.0
1.2,0.0060,551.5,0.0900,16545.0
1.3,0.0065,551.0,0.0975,16530.0
1.4,0.0070,550.5,0.1050,16515.0
1.5,0.0075,550.0,0.1125,16500.0
1.6,0.0080,549.0,0.1200,16470.0
1.7,0.0085,547.0,0.1275,16410.0
1.8,0.0090,545.0,0.1350,16350.0
1.9,0.0095,543.0,0.1425,16290.0
2.0,0.0100,540.0,0.1500,16200.0
